Date,Price,OI,NC_SHORT,NC_LONG,NC_SPREAD,C_LONG,C_SHORT,TOT_LONG,TOT_SHORT,NR_LONG,NR_SHORT
6/15/2010,1115,1315726,63790,82674,109606,928351,928232,1101747,1120512,213979,195214
6/22/2010,1095,928668,69748,79661,45838,656760,672299,772346,797799,156322,130869
6/29/2010,1041,1006178,72021,73942,75006,698782,724016,845808,872964,160370,133214
7/6/2010,1028,1033964,63304,89419,82736,720076,716278,866116,888434,167847,145530
7/13/2010,1095,1014184,62584,101044,74728,719310,684630,856622,860402,157562,153782
7/20/2010,1083,976665,65409,97239,66305,695231,675287,826944,838831,149720,137834
7/27/2010,1114,982223,65102,93396,62170,705298,690462,832569,846028,149654,136195
8/3/2010,1120,980361,64071,90045,57940,703422,700264,825433,848250,154928,132111
8/10/2010,1121,990404,66210,93211,62105,714875,711922,843190,867238,147213,123166
8/17/2010,1093,1007404,69651,91535,75009,721923,715581,866583,882125,140821,125279
8/24/2010,1052,1032366,66543,97675,87936,747700,734140,902179,919751,130186,112615
8/31/2010,1049,1060112,67493,106110,94664,776709,753594,938866,954368,121246,105744
9/7/2010,1092,1062629,60300,109029,91847,774297,747347,926444,948223,136185,114406
9/14/2010,1121,1237221,64728,111833,98079,886306,859550,1049113,1069461,188108,167760
9/21/2010,1140,887945,56665,83266,51650,637055,625403,745370,760319,142574,127626
9/28/2010,1148,931013,62549,76771,69780,658833,664454,791162,811005,139850,120007
10/5/2010,1161,962285,74827,77896,81074,659503,685311,815403,844280,146882,118005
10/12/2010,1170,981231,71030,80140,82859,680814,701123,834703,864122,146528,117109
10/19/2010,1166,964115,72711,79661,74196,676237,696192,823144,850049,140971,114066
10/26/2010,1186,997442,78959,76717,87057,694585,719620,860601,883394,136841,114048
11/2/2010,1194,1012331,83750,77970,90777,711179,742245,885706,910992,126625,101339
11/9/2010,1213,1058363,81795,84976,108536,736674,765211,927005,958723,131358,99640
11/16/2010,1178,1078285,85992,87728,105710,734367,771899,926068,965336,152217,112949
11/23/2010,1181,1056455,80319,95241,97170,728104,750729,905593,943139,150862,113316
11/30/2010,1181,1062033,77710,85476,96718,740109,764804,914537,946998,147496,115035
12/7/2010,1224,1121798,72788,78061,128103,759922,796022,960813,1002187,160985,119611
12/14/2010,1242,1273678,83249,70675,148458,866615,912928,1098323,1132062,175355,141616
12/21/2010,1255,857989,73426,71464,48592,607576,643220,729594,763275,128394,94713
12/28/2010,1259,870595,70391,75044,50382,622371,647309,743143,772735,127451,97860
1/4/2011,1270,893694,74200,78160,55209,633854,664563,763264,797933,130430,95762
1/11/2011,1274,926081,83473,77930,62252,650292,694283,796016,834465,130064,91616
1/18/2011,1295,973354,78858,87188,70932,688258,711665,838049,869785,135306,103569
1/25/2011,1291,941013,81831,85361,55444,666084,699483,803359,840287,137654,100725
2/1/2011,1308,984073,81185,87486,78856,686219,719724,846260,886066,137813,98007
2/8/2011,1325,1033874,74250,100848,96260,732181,732234,902691,929341,131183,104533
2/15/2011,1328,1060538,73824,100718,103735,750638,749811,928196,954264,132342,106274
2/22/2011,1315,1045865,82377,103635,95213,732174,735636,909765,934484,136100,111381
3/1/2011,1306,1089709,78551,99137,110962,745269,764783,934782,974882,154928,114827
3/8/2011,1322,1127940,77013,102126,117786,778912,787243,973711,1007155,154229,120785
3/15/2011,1282,1348052,77709,106885,185514,907926,895589,1171149,1187988,176903,160064
3/22/2011,1294,927965,65540,94383,76157,644058,632376,785755,802915,142210,125050
3/29/2011,1319,951946,70824,97119,73108,648941,654205,792873,824432,159072,127513
4/5/2011,1333,968350,80316,92695,70274,648650,675124,799240,838093,169110,130257
4/12/2011,1314,978236,78056,99327,74836,654012,672769,806903,846932,171332,131303
4/19/2011,1313,965147,71692,103436,64144,654633,659322,790470,826901,174678,138246
4/26/2011,1347,996090,81991,93136,69173,670432,699524,821596,861832,174494,134258
5/3/2011,1357,1031989,91798,91171,81641,684790,729171,858229,901983,173760,130006
5/10/2011,1357,1008433,80453,88995,73714,672115,711422,826281,874131,182152,134303
5/17/2011,1329,1011444,77959,85267,78749,673738,711161,830445,875177,180999,136267
5/24/2011,1316,1012001,81936,98319,68983,669945,692937,820864,860239,191137,151762
5/31/2011,1345,1014762,83603,107187,63602,678698,695582,825903,866371,188859,148391
6/7/2011,1285,1103967,85123,108884,107156,706844,728481,899122,944521,204845,159446
6/14/2011,1288,1233493,78449,101335,135942,786924,800119,1001315,1037395,232178,196097
6/21/2011,1296,892301,71041,84660,62303,623135,644883,756479,791846,135821,100454
